part_date,customer_id,customer_group_by_age,transaction_amount,most_exp_article_id,number_of_articles,number_of_product_groups
2019-12,0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,A,0.81384745762711858600,0800530002,21,4
2019-12,000945fbfa84885dbf7c421f7a76d8cec39056551eb9659521bdcf55911441d6,A,0.39818644067796611700,0794566002,7,2
2019-12,000b1981787a5d7c5353b6f4dd094442f3fc8e4f948e7fff592256c60e80c68c,A,0.06857627118644067700,0800389001,4,3
2019-12,000fa1b80857fa40bf25990bc1b1b65afc63923a8e4b5762db34e4bb46032d29,A,0.08471186440677965700,0752857001,2,2
2019-12,0010a323c703b9d5d6fbfe0da9b663f454e75b3602f278b3f6cdffe495a48bf7,A,0.06862711864406780000,0787128001,1,1
2019-12,001420112d698c8a39ccccd8f6c0341c57025cc022612975a2fcdbfe6e9284b0,A,0.10433898305084744500,0779349001,4,3
2019-12,0017da8f8aaff2be69599da3e09170b2261d66e646133b153b50cdaf9240e7b7,A,0.03388135593220338600,0826492005,1,1
2019-12,00190ae87b184c5a8886a6024c043275e883636c238fad618497026cfed97b3c,A,0.08471186440677965000,0856732001,2,2
2019-12,00197bba4d00adadddf536f43814e68393ea37c9b51fd1b783b0d136a63422fc,A,0.02437288135593220200,0516859008,2,1
2019-12,001d5cd98fcdbc6bde738b8ad6041b67ca1e3e8be5c4c099edc89496c35b5192,R,0.04418644067796610300,0813636001,3,2
2019-12,001ee989febb8279e46d45532623ccfdc6fefdd7bcac41faad6dc81e812838fe,A,0.14908474576271184600,0589440002,4,2
2019-12,001fd23db1109a94bba1319bb73df0b479059027c182da490e1161b34cd3af61,A,0.03555932203389830500,0688728018,2,2
2019-12,00228762ecff5b8d1ea6a2e52b96dafa198febddbc3bf350eb611f28e61ea6ce,A,0.09023728813559323000,0707381001,1,1
2019-12,0026b7d3b76ea96fcaebfc970961107f5c07dc91669144dd75f5e5d695b5fdfc,A,0.05083050847457626400,0817862001,1,1
2019-12,0028842574b1e175044a42c9282b0d0b6c8bc5fd079afb1d24aaba1cdd2dd33d,A,0.13381355932203388400,0820563001,5,3
2019-12,0028d98fb60fe3c42d8627c3b4ee55d42c93820f907d3eccd7bef1ea73bd57ce,A,0.05081355932203389200,0813688002,2,2
2019-12,002b8b2edbdaad2e4c90ffea435e1945945ebcc4ada4011a1dd2500eed196a8b,A,0.01015254237288135700,0756428001,1,1
2019-12,002ca2adab1fd9cb21f31f70bee8af6a67df42cdc0b985149546df9d14afed7c,S,0.01015254237288135700,0830581001,1,1
2019-12,002d1f5bd63ea4d0c6bed75d791646899dfd9069cbb83a82e6d095ee89beda1e,A,0.02438983050847457600,0739363003,1,1
2019-12,0031a3ee9e817a6268d6bb4d598fd6922eb35f26dd0054dbfeed3c7fded09112,A,0.15754237288135593000,0831686001,5,2
2019-12,003292a63d9ca49d46dd66ffbbd6cca6e02f50f6b5f488bc1e32e6ba752fc33c,A,0.04835593220338983000,0792851002,3,2
2019-12,0033c253ee4c93f7b00e8fbaf19c645854d3362429e54f215c0983576a99b0c4,A,0.07623728813559321100,0784500001,2,2
2019-12,0036b53f0ee96ec8ed3e2ce70829c5cd7094dd2b971728d0e2a34e9f0e634f34,A,0.14564406779661016600,0616123005,7,6
2019-12,003839669f52ead5a0c53cf10bd36798556e591ffbb5ef288206efedbfd8880c,R,0.26832203389830506800,0823798001,9,2
2019-12,0038d169e823dac9f68ca586b4cc5d6fed06b3eaa0842625bf5889272a28c730,A,0.14394915254237287300,0573085043,7,5
2019-12,003ac6eff3ca20cbe4e14a106a5e28b7551616005de8f9dd0f9455e5543b31ac,A,0.19323728813559321000,0777628003,9,6
2019-12,003e3d7b746e8c8a48ed82bf47519f312cacc9ab2c65185b611e337dd74968a1,S,0.03147457627118643800,0771806001,3,1
2019-12,003f1bdc9212bd81fd5ec35bf7285580103cd8a469340efed1d27f3b86d7f28f,A,0.68232203389830502700,0837325001,13,4
2019-12,004044a85f08753e50621459bd2be9cb3bf1bb346c2a94637b7a5a42cb9f403f,S,0.07623728813559321000,0830185001,2,1
2019-12,004078aa9f69efb374e0d5faa1e79e5b95c20fb66965528731815208a79db88b,A,0.09318644067796608900,0693246007,2,1
2019-12,0044c0b989ea44be655875ac6092dd7c86ab21b1218fafd35fec67503a104483,A,0.31267796610169489400,0839464001,3,2
2019-12,0047db8ca758c962594c2537aecb69d33a5e40361db9969732f800388ef3d175,A,0.07620338983050847400,0824148001,4,1
2019-12,0047fb36bf4a958368b660d8fc44ac017010a179fe5a716e7d38bc43d6fa93e7,A,0.06501694915254236400,0787153001,6,2
2019-12,00481d88beed0274c6de41bd313ee572c56d4837f6318399c23a32a8503213ec,A,0.05081355932203389400,0763280001,2,1
2019-12,004d738d594c19ad6d3e44d705de8829fd9e11d3385c11ab876c27a03bf33e1a,A,0.74883050847457626100,0824312001,20,5
2019-12,0055238c01fd709813972b3366e956f35b27197c7cb35fe3697305a06e62d07a,A,0.24228813559322033200,0764563002,5,2
2019-12,005c00f83b6970988946970a93899cf3c6502f63327bfe3b87059db2be8608d9,A,0.01523728813559322000,0737224003,1,1
2019-12,005d7461907e1fc9dd3f1475cb2d36ff729b659dae479025256965269c76a11e,S,0.02744067796610170000,0777070001,1,1
2019-12,005da534f77afa84b9266d701651cbe00a9f19b26adcfc1ab8d185677d216d38,A,0.02533898305084745720,0713997039,6,2
2019-12,005f0059bc1ab36de04f436c4afd9d096baeb7bf586d4aaa34afadc990c36365,A,0.27469491525423727900,0806973001,13,4
2019-12,005f9324e47cc574095bb8721c64446ac489e36dec5e511bd159795a68e25c95,A,0.03388135593220338600,0788248003,1,1
2019-12,00610eccef50293b6f74f5f9f77954e4fdf955bae91217c02c9a88cfe7678854,S,0.10535593220338982500,0659302004,6,3
2019-12,0067e90a62db495d04a2b424cbbb8b99f64fad9f7e89c9d7902a5ad918d7ce7d,S,0.02540677966101694700,0720125001,1,1
2019-12,00682fcee06418bfc888f0cd528a6d0fc0222b4e7dfe09db826fab67f7896ab1,A,0.00506779661016949200,0739666011,1,1
2019-12,00688d09cdd723d75c1ea0150deed813fced74e94ed842c11ab62a47c5f4fd3e,S,0.04232203389830508300,0754267051,3,1
2019-12,0069a87a10ed862b16e10df71676abfc5cb8d8eee4dd29b46909c476fd39111c,A,0.05793220338983051000,0695632042,2,2
