word,count
the,49533
i,46410
you,42288
and,29414
to,26776
a,26081
me,21083
my,19506
it,17681
in,17043
that,13334
on,12703
of,11525
your,11378
i'm,10460
like,9765
all,9359
is,9255
be,8663
we,8644
for,8631
up,8157
so,8009
with,7942
know,7582
love,7514
but,7484
just,7471
don't,7096
no,7045
got,6855
this,6777
get,6508
what,6486
oh,6413
when,6166
do,5986
they,5773
yeah,5718
now,5345
baby,5314
if,5268
go,5019
can,4925
"",4876
she,4872
was,4796
out,4770
it's,4662
one,4549
down,4488
want,3995
he,3948
see,3832
come,3816
her,3639
say,3633
not,3620
at,3527
make,3447
from,3378
time,3369
back,3356
have,3273
are,3207
you're,3103
how,3096
im,3085
let,3060
never,3051
girl,3007
as,2956
take,2892
man,2813
right,2785
wanna,2769
way,2764
will,2763
can't,2634
ain't,2566
there,2530
need,2523
tell,2489
then,2410
gonna,2349
here,2346
more,2308
some,2298
i'll,2236
feel,2200
where,2148
too,2141
his,2124
could,2122
been,2112
u,2100
said,2086
'cause,2084
life,2063
who,2021
them,2013
good,2010
or,2002
about,1987
shit,1972
give,1972
why,1940
night,1892
had,1879
little,1877
off,1845
still,1828
day,1819
by,1816
that's,1801
only,1772
ya,1748
cause,1733
think,1727
keep,1708
fuck,1704
us,1685
bitch,1685
dont,1682
through,1668
every,1654
look,1650
its,1631
well,1626
hey,1623
away,1607
around,1571
these,1566
would,1561
him,1554
heart,1552
world,1518
money,1508
gotta,1498
over,1484
put,1444
i've,1437
am,1423
new,1420
la,1419
better,1408
call,1388
our,1366
ever,1338
an,1320
bad,1318
boy,1309
home,1289
stop,1264
aint,1262
even,1252
long,1244
really,1226
than,1216
big,1207
did,1205
we're,1202
won't,1196
again,1195
mind,1190
nigga,1183
always,1178
there's,1177
were,1154
hold,1125
much,1116
things,1113
da,1107
thing,1101
people,1100
nothing,1097
before,1089
niggas,1086
head,1081
ooh,1075
hear,1053
show,1049
'em,1043
name,1039
everything,1030
going,1014
hard,987
hit,985
leave,979
eyes,979
gone,979
try,978
ass,977
god,977
find,974
another,960
turn,956
live,955
should,953
something,944
talk,939
yo,939
real,935
uh,934
play,925
she's,924
face,916
everybody,911
please,911
let's,911
old,897
light,884
mine,877
na,873
believe,872
tonight,869
two,859
high,854
made,844
stay,839
dance,838
last,834
alone,833
into,831
told,827
best,818
work,794
hand,789
nixga,777
while,771
body,769
thats,767
die,759
yes,758
first,748
chorus,746
their,742
mean,736
hot,735
i'd,734
nobody,732
came,732
left,731
run,728
other,722
place,721
cant,716
wait,714
stand,711
cry,709
em,700
same,691
done,690
without,685
wish,681
bitches,680
girls,675
fly,675
black,675
friends,672
whole,672
ah,668
enough,666
wrong,660
damn,659
you'll,656
thought,651
hands,649
free,643
alright,640
crazy,638
game,635
sky,634
has,633
fire,631
he's,625
young,624
whoa,618
somebody,615
together,605
must,595
maybe,595
care,592
used,591
coming,590
own,589
end,588
went,587
inside,582
move,582
fall,582
heard,573
rock,570
ready,567
party,566
myself,563
you've,558
help,558
side,557
we'll,556
many,555
bring,554
music,552
watch,551
because,551
looking,550
friend,546
sun,546
guess,545
remember,544
seen,542
touch,542
ask,542
ride,540
trying,534
break,534
forever,527
walk,526
might,526
knows,521
door,520
sing,519
next,519
round,514
soul,511
though,510
lord,509
lost,508
feeling,507
house,502
lie,499
someone,498
song,496
start,496
dream,495
after,493
hope,492
took,491
change,487
true,479
kiss,478
till,475
cold,475
goes,475
far,474
mama,473
top,472
white,472
waiting,472
pussy,469
beat,467
woman,466
sweet,465
didn't,464
matter,464
morning,461
knew,460
until,460
floor,458
happy,457
getting,456
biggie,456
may,454
rain,453
sometimes,453
miss,451
room,451
once,451
hate,450
ill,449
y'all,449
days,444
shot,441
since,441
babe,440
lose,437
comes,436
bed,433
honey,432
lay,431
huh,429
smile,429
nixgas,428
what's,426
road,424
town,422
lights,419
any,414
lot,414
dead,414
hoes,413
deep,413
blow,412
hair,412
each,412
blue,412
cut,409
dreams,408
throw,408
roll,408
times,408
wit,406
bout,405
pretty,405
full,403
easy,403
under,402
pain,402
yall,402
three,401
gimme,401
boys,400
late,400
close,398
dick,398
those,397
hell,397
youre,397
shake,397
city,396
beautiful,395
goin',394
words,393
drop,393
sex,390
yourself,389
fight,387
gon',385
years,382
alive,381
line,381
low,377
talking,377
club,377
behind,377
fucking,376
dark,375
feet,374
pull,374
hurt,373
living,373
x,372
sure,372
car,370
understand,369
straight,369
forget,367
slow,366
'bout,364
lonely,363
buy,362
streets,361
today,360
check,359
daddy,359
feels,357
sleep,357
gave,354
red,352
makes,352
very,351
nah,350
pay,349
phone,347
arms,347
open,347
gold,346
meet,343
listen,343
drink,343
saying,342
found,342
saw,341
'til,341
anything,337
word,337
nasty,335
set,334
eat,333
lover,333
else,331
doing,331
both,330
wonder,330
heaven,328
wild,325
sorry,324
air,324
million,322
ha,321
gon,320
loving,319
tryna,318
yet,316
kill,316
fast,315
act,311
they're,311
swear,311
water,310
such,310
lets,310
says,310
tried,309
star,309
ho,305
use,302
wake,302
boom,302
